,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
10,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/lit,6946.0,6946.0,37,True,3,,,
11,Deno,withastro/astro,@astrojs/deno,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/deno,2531.0,2531.0,37,True,3,,,
12,VSCode Astro Language Tools,withastro/language-tools,,integrations-ide,https://github.com/withastro/language-tools,https://github.com/withastro/language-tools,2021-08-20 19:47:14,2023-07-26 20:28:12,2023-07-26 20:27:20,459,71.0,28.0,12,374.0,27.0,213.0,155.0,2023-07-26 20:28:13,@astrojs/language-server@2.1.3,100.0,Language tools for Astro.,42227.0,42227.0,25.0,,,,26,True,1,MIT,,
13,AstroWind,onwidget/astrowind,,gh-template-theme,https://github.com/onwidget/astrowind,https://github.com/onwidget/astrowind,2022-06-24 03:13:29,2023-07-27 11:28:56,2023-07-27 11:27:26,632,53.0,262.0,24,84.0,,55.0,1139.0,2023-06-29 08:13:06,0.9.8,7.0,AstroWind: A free template using Astro 2.0 and Tailwind CSS. Astro starter theme.,,,25.0,,,,22,True,1,MIT,"['tailwind', 'typescript']",
14,Astro SEO,jonasmerlin/astro-seo,,integrations-seo,https://github.com/jonasmerlin/astro-seo,https://github.com/jonasmerlin/astro-seo,2021-08-28 09:35:19,2023-07-21 15:13:55,2023-07-11 09:40:13,225,14.0,32.0,3,45.0,2.0,21.0,497.0,2023-07-11 09:41:28,0.7.5,24.0,Makes it easy to add information that is relevant for SEO to your Astro app.,1653.0,1653.0,20.0,,,,22,True,1,MIT,,
15,Odyssey Theme,littlesticks/odyssey-theme,,gh-template-theme,https://github.com/littlesticks/odyssey-theme,https://github.com/littlesticks/odyssey-theme,2022-05-15 03:10:17,2023-05-02 18:22:08,2023-05-02 18:22:05,184,8.0,81.0,5,13.0,6.0,15.0,312.0,2022-12-15 17:28:57,2.0.2,4.0,A modern business marketing website theme/starter built with Astro.,304.0,304.0,3.0,,,,18,True,2,MIT,,
16,Astrofy,manuelernestog/astrofy,,gh-template-theme,https://github.com/manuelernestog/astrofy,https://github.com/manuelernestog/astrofy,2022-09-14 14:08:22,2023-07-10 03:52:48,2023-07-10 03:48:14,150,43.0,97.0,5,19.0,,10.0,289.0,2023-06-08 16:31:28,2.5.0,5.0,Astrofy is a free and open-source template for your Personal Portfolio Website built with Astro and TailwindCSS...,,,13.0,,,,17,True,2,MIT,,
17,Storyblok,storyblok/storyblok-astro,,integrations-cms,https://github.com/storyblok/storyblok-astro,https://github.com/storyblok/storyblok-astro,2022-08-31 12:29:30,2023-07-27 12:36:23,2023-07-27 12:36:23,535,278.0,16.0,15,338.0,4.0,17.0,70.0,2023-07-07 16:22:19,2.5.4,38.0,,161.0,161.0,12.0,,,,16,False,1,,,
18,Astro SPA,RafidMuhymin/astro-spa,,integrations-spa,https://github.com/RafidMuhymin/astro-spa,https://github.com/RafidMuhymin/astro-spa,2021-08-29 17:39:25,2022-10-03 17:01:31,2022-04-19 10:17:26,182,,12.0,6,3.0,4.0,3.0,332.0,2022-04-19 10:18:15,1.3.9,65.0,An Astro JS component that turns a website into an SPA and boost performance using various techniques.,83.0,83.0,2.0,,,,14,True,1,MIT,,
19,Decap CMS (Netlify CMS),delucis/astro-netlify-cms,,integrations-cms,https://github.com/delucis/astro-netlify-cms,https://github.com/delucis/astro-netlify-cms,2022-01-26 20:32:40,2023-07-11 10:02:36,2023-07-11 10:02:35,134,3.0,17.0,5,48.0,8.0,17.0,128.0,2023-02-01 23:26:54,0.5.3,17.0,Integration to add Netlify CMSs admin dashboard to any Astro project.,394.0,394.0,6.0,,,,14,True,3,,,
20,AstroShip,surjithctly/astroship,,gh-template-theme,https://github.com/surjithctly/astroship,https://github.com/surjithctly/astroship,2022-11-01 10:14:05,2023-07-17 21:32:45,2023-04-13 07:22:07,57,,122.0,7,15.0,2.0,11.0,575.0,2023-02-06 14:47:43,2.0.0,3.0,"Astroship is a starter template for startups, marketing websites, landing pages & blog. Built with Astro & TailwindCSS.",,,6.0,,,,13,True,2,GPL-3.0,,
21,astro-terminal-player,JulianCataldo/web-garden,astro-terminal-player,components,https://github.com/JulianCataldo/web-garden,https://github.com/JulianCataldo/web-garden,2022-06-18 02:54:16,2023-07-17 10:29:14,2023-04-18 12:21:05,884,,11.0,2,65.0,11.0,8.0,105.0,,,,"Building blocks for making progressive and future-proof websites. Components collection features Astro, HTML, SCSS,..",8.0,8.0,5.0,https://www.npmjs.com/package/astro-terminal-player,48.0,48.0,11,True,1,ISC,,
22,Astroplate,zeon-studio/astroplate,,gh-template-theme,https://github.com/zeon-studio/astroplate,https://github.com/zeon-studio/astroplate,2023-04-17 06:50:06,2023-07-27 04:30:46,2023-07-27 04:30:41,53,44.0,24.0,6,2.0,,4.0,87.0,,,,Astro + Tailwind CSS + TypeScript Starter and Boilerplate.,,,4.0,,,,11,True,3,MIT,['tailwind'],1.0
23,Accessible Astro Dashboard,markteekman/accessible-astro-dashboard,,gh-template-theme,https://github.com/markteekman/accessible-astro-dashboard,https://github.com/markteekman/accessible-astro-dashboard,2022-05-05 07:29:37,2023-03-29 07:59:10,2023-03-29 07:58:56,88,,15.0,4,11.0,,,86.0,2022-10-06 12:31:27,1.1.4,8.0,An Accessible Admin Dashboard Theme for Astro with a login page and a dashboard overview. Includes accessibility..,,,2.0,,,,9,True,3,MIT,"['accessible-astro-components', 'javascript']",
24,Flowbite Astro Admin Dashboard,themesberg/flowbite-astro-admin-dashboard,,theme,https://github.com/themesberg/flowbite-astro-admin-dashboard,https://github.com/themesberg/flowbite-astro-admin-dashboard,2023-03-02 15:44:13,2023-04-12 04:31:06,2023-04-12 04:29:50,73,,31.0,8,,1.0,3.0,131.0,,,,"Open-source admin dashboard template built with Astro, Flowbite, and Tailwind CSS.",,,2.0,,,,7,True,1,MIT,"['tailwind', 'flowbite']",
25,Astro Quickstart Template,netlify-templates/astro-quickstart,,gh-template-starter,https://github.com/netlify-templates/astro-quickstart,https://github.com/netlify-templates/astro-quickstart,2022-05-04 15:22:28,2023-07-17 03:54:42,2023-07-17 03:54:18,89,3.0,32.0,3,78.0,2.0,1.0,36.0,,,,A bare-bones Astro template to get you deployed to Netlify fast!.,,,5.0,,,,7,True,1,,,
26,Bookworm Light Astro,themefisher/bookworm-light-astro,,gh-template-theme,https://github.com/themefisher/bookworm-light-astro,https://github.com/themefisher/bookworm-light-astro,2023-02-14 04:43:43,2023-05-29 06:22:33,2023-05-29 06:22:26,19,3.0,18.0,4,1.0,2.0,2.0,64.0,,,,"Bookworm Light is a feature-rich, minimal, highly customizable, easy-to-use Astro blog theme.",,,6.0,,,,6,True,3,MIT,"['tailwind', 'typescript']",
27,Astrolus,Tailus-UI/astro-theme,,gh-template-theme,https://github.com/Tailus-UI/astro-theme,https://github.com/Tailus-UI/astro-theme,2022-09-04 11:34:15,2023-03-31 13:23:55,2023-03-31 13:23:40,20,,23.0,2,1.0,,1.0,64.0,,,,Home page template built with astro and tailwindcss using tailus blocks.,,,2.0,,,,5,True,3,MIT,"['tailwind', 'tailus', 'typescript']",
28,Astro Starter Kit - Docs Site,advanced-astro/astro-docs-template,,gh-template-theme,https://github.com/advanced-astro/astro-docs-template,https://github.com/advanced-astro/astro-docs-template,2023-01-29 16:52:59,2023-07-18 09:38:00,2023-03-17 16:01:22,22,,2.0,1,15.0,2.0,,14.0,,,,The Advanced Astro 2.0 Docs Template.,,,2.0,,,,3,False,3,,['typescript'],
29,Firebase,thepassle/astro-firebase,,integrations-ssr,https://github.com/thepassle/astro-firebase,https://github.com/thepassle/astro-firebase,2022-04-28 08:24:21,2022-05-05 13:10:13,2022-05-05 13:10:12,4,,,3,,2.0,,14.0,,,,,7.0,7.0,,,,,3,False,3,,,
30,Contentful,ajsummerfield/contentful-astro,,integrations-cms,https://github.com/ajsummerfield/contentful-astro,https://github.com/ajsummerfield/contentful-astro,2023-02-09 18:23:03,2023-02-11 19:04:37,2023-02-11 19:01:07,13,,,1,,1.0,,,2023-02-11 19:04:37,1.1.0,2.0,,1.0,1.0,,,,,3,False,3,,,
