,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,labels,license,trending
12,AstroWind,onwidget/astrowind,,gh-template-theme,https://github.com/onwidget/astrowind,https://github.com/onwidget/astrowind,2022-06-24 03:13:29,2023-08-10 14:57:49,2023-08-10 14:57:49,725,138.0,270.0,24,94.0,,60.0,1187.0,2023-06-29 08:13:06,0.9.8,7.0,AstroWind: A free template using Astro 2.0 and Tailwind CSS. Astro starter theme.,,,25.0,,,,22,True,1,"['tailwind', 'typescript']",MIT,
13,Astro SEO,jonasmerlin/astro-seo,,integrations-seo,https://github.com/jonasmerlin/astro-seo,https://github.com/jonasmerlin/astro-seo,2021-08-28 09:35:19,2023-07-21 15:13:55,2023-07-11 09:40:13,225,14.0,32.0,3,45.0,3.0,21.0,509.0,2023-07-11 09:41:28,0.7.5,24.0,Makes it easy to add information that is relevant for SEO to your Astro app.,1785.0,1785.0,20.0,,,,22,True,1,,MIT,
14,VSCode Astro Language Tools,withastro/language-tools,,integrations-ide,https://github.com/withastro/language-tools,https://github.com/withastro/language-tools,2021-08-20 19:47:14,2023-07-31 17:38:24,2023-07-31 17:37:41,464,55.0,28.0,11,377.0,27.0,217.0,160.0,2023-07-31 17:38:24,@astrojs/language-server@2.2.0,100.0,Language tools for Astro.,,,25.0,,,,19,True,1,,MIT,
15,Odyssey Theme,littlesticks/odyssey-theme,,gh-template-theme,https://github.com/littlesticks/odyssey-theme,https://github.com/littlesticks/odyssey-theme,2022-05-15 03:10:17,2023-05-02 18:22:08,2023-05-02 18:22:05,184,,81.0,6,13.0,6.0,15.0,321.0,2022-12-15 17:28:57,2.0.2,4.0,A modern business marketing website theme/starter built with Astro.,315.0,315.0,3.0,,,,17,True,2,,MIT,
16,Astrofy,manuelernestog/astrofy,,gh-template-theme,https://github.com/manuelernestog/astrofy,https://github.com/manuelernestog/astrofy,2022-09-14 14:08:22,2023-07-10 03:52:48,2023-07-10 03:48:14,150,43.0,103.0,4,19.0,2.0,10.0,308.0,2023-06-08 16:31:28,2.5.0,5.0,Astrofy is a free and open-source template for your Personal Portfolio Website built with Astro and TailwindCSS...,,,13.0,,,,17,True,2,,MIT,
17,Storyblok,storyblok/storyblok-astro,,integrations-cms,https://github.com/storyblok/storyblok-astro,https://github.com/storyblok/storyblok-astro,2022-08-31 12:29:30,2023-08-10 16:43:49,2023-08-10 16:41:52,597,287.0,16.0,15,371.0,4.0,18.0,69.0,2023-08-10 16:43:58,2.5.9,43.0,,172.0,172.0,12.0,,,,16,False,1,,,
18,Astro SPA,RafidMuhymin/astro-spa,,integrations-spa,https://github.com/RafidMuhymin/astro-spa,https://github.com/RafidMuhymin/astro-spa,2021-08-29 17:39:25,2022-10-03 17:01:31,2022-04-19 10:17:26,182,,12.0,6,3.0,4.0,3.0,337.0,2022-04-19 10:18:15,1.3.9,65.0,An Astro JS component that turns a website into an SPA and boost performance using various techniques.,84.0,84.0,2.0,,,,14,True,1,,MIT,
19,AstroShip,surjithctly/astroship,,gh-template-theme,https://github.com/surjithctly/astroship,https://github.com/surjithctly/astroship,2022-11-01 10:14:05,2023-08-10 15:13:46,2023-08-10 15:13:46,64,7.0,131.0,8,17.0,1.0,12.0,603.0,2023-08-02 14:18:58,2.1.0,4.0,"Astroship is a starter template for startups, marketing websites, landing pages & blog. Built with Astro & TailwindCSS.",,,9.0,,,,13,True,2,,GPL-3.0,
20,Decap CMS (Netlify CMS),delucis/astro-netlify-cms,,integrations-cms,https://github.com/delucis/astro-netlify-cms,https://github.com/delucis/astro-netlify-cms,2022-01-26 20:32:40,2023-07-11 10:02:36,2023-07-11 10:02:35,134,3.0,18.0,5,48.0,8.0,18.0,129.0,2023-02-01 23:26:54,0.5.3,17.0,Integration to add Netlify CMSs admin dashboard to any Astro project.,405.0,405.0,6.0,,,,13,True,3,,,
21,astro-terminal-player,JulianCataldo/web-garden,astro-terminal-player,components,https://github.com/JulianCataldo/web-garden,https://github.com/JulianCataldo/web-garden,2022-06-18 02:54:16,2023-07-17 10:29:14,2023-04-18 12:21:05,884,,11.0,2,65.0,11.0,8.0,107.0,,,,"Building blocks for making progressive and future-proof websites. Components collection features Astro, HTML, SCSS,..",8.0,8.0,5.0,https://www.npmjs.com/package/astro-terminal-player,32.0,32.0,11,True,1,,ISC,
22,Astroplate,zeon-studio/astroplate,,gh-template-theme,https://github.com/zeon-studio/astroplate,https://github.com/zeon-studio/astroplate,2023-04-17 06:50:06,2023-08-06 02:27:53,2023-08-06 02:27:46,59,41.0,28.0,6,2.0,1.0,5.0,103.0,,,,"Astroplate is a free starter template built with Astro, TailwindCSS & TypeScript providing everything you need to..",,,4.0,,,,10,True,3,['tailwind'],MIT,-1.0
23,Accessible Astro Dashboard,markteekman/accessible-astro-dashboard,,gh-template-theme,https://github.com/markteekman/accessible-astro-dashboard,https://github.com/markteekman/accessible-astro-dashboard,2022-05-05 07:29:37,2023-03-29 07:59:10,2023-03-29 07:58:56,88,,17.0,4,11.0,,,88.0,2022-10-06 12:31:27,1.1.4,8.0,An Accessible Admin Dashboard Theme for Astro with a login page and a dashboard overview. Includes accessibility..,,,2.0,,,,9,True,3,"['accessible-astro-components', 'javascript']",MIT,
24,Flowbite Astro Admin Dashboard,themesberg/flowbite-astro-admin-dashboard,,theme,https://github.com/themesberg/flowbite-astro-admin-dashboard,https://github.com/themesberg/flowbite-astro-admin-dashboard,2023-03-02 15:44:13,2023-04-12 04:31:06,2023-04-12 04:29:50,73,,34.0,8,,1.0,3.0,148.0,,,,"Open-source admin dashboard template built with Astro, Flowbite, and Tailwind CSS.",,,2.0,,,,7,True,1,"['tailwind', 'flowbite']",MIT,
25,Bookworm Light Astro,themefisher/bookworm-light-astro,,gh-template-theme,https://github.com/themefisher/bookworm-light-astro,https://github.com/themefisher/bookworm-light-astro,2023-02-14 04:43:43,2023-05-29 06:22:33,2023-05-29 06:22:26,19,3.0,21.0,4,1.0,2.0,2.0,73.0,,,,"Bookworm Light is a feature-rich, minimal, highly customizable, easy-to-use Astro blog theme.",,,6.0,,,,7,True,3,"['tailwind', 'typescript']",MIT,1.0
26,Astro Quickstart Template,netlify-templates/astro-quickstart,,gh-template-starter,https://github.com/netlify-templates/astro-quickstart,https://github.com/netlify-templates/astro-quickstart,2022-05-04 15:22:28,2023-07-17 03:54:42,2023-07-17 03:54:18,89,3.0,32.0,3,78.0,2.0,1.0,36.0,,,,A bare-bones Astro template to get you deployed to Netlify fast!.,,,5.0,,,,7,True,1,,,
27,Astrolus,Tailus-UI/astro-theme,,gh-template-theme,https://github.com/Tailus-UI/astro-theme,https://github.com/Tailus-UI/astro-theme,2022-09-04 11:34:15,2023-03-31 13:23:55,2023-03-31 13:23:40,20,,27.0,2,1.0,,1.0,71.0,,,,Home page template built with astro and tailwindcss using tailus blocks.,,,2.0,,,,5,True,3,"['tailwind', 'tailus', 'typescript']",MIT,
28,Astro Starter Kit - Docs Site,advanced-astro/astro-docs-template,,gh-template-theme,https://github.com/advanced-astro/astro-docs-template,https://github.com/advanced-astro/astro-docs-template,2023-01-29 16:52:59,2023-07-18 09:38:00,2023-03-17 16:01:22,22,,3.0,1,15.0,2.0,,15.0,,,,The Advanced Astro 2.0 Docs Template.,,,2.0,,,,4,False,3,['typescript'],,1.0
29,Firebase,thepassle/astro-firebase,,integrations-ssr,https://github.com/thepassle/astro-firebase,https://github.com/thepassle/astro-firebase,2022-04-28 08:24:21,2022-05-05 13:10:13,2022-05-05 13:10:12,4,,,3,,2.0,,14.0,,,,,7.0,7.0,,,,,3,False,3,,,
30,Contentful,ajsummerfield/contentful-astro,,integrations-cms,https://github.com/ajsummerfield/contentful-astro,https://github.com/ajsummerfield/contentful-astro,2023-02-09 18:23:03,2023-02-11 19:04:37,2023-02-11 19:01:07,13,,,1,,1.0,,,2023-02-11 19:04:37,1.1.0,2.0,,1.0,1.0,,,,,3,False,3,,,
